tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,Player1_entry,Player1_name,Player1_hand,Player1_ht,Player1_ioc,Player1_age,score,best_of,round,minutes,Player2_id,Player2_seed,Player2_entry,Player2_name,Player2_hand,Player2_ht,Player2_ioc,Player2_age,Player1_id,Player1_seed,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,Player2_rank,Player2_rank_points,Player1_rank,Player1_rank_points,Player2_streak,Player2_max_streak,y
2020-560,Us Open,Hard,128,G,20200831,202,,Cameron Norrie,L,188.0,GBR,25.0,7-6(2) 4-6 6-2 6-1,5,R32,163.0,200221,,,Alejandro Davidovich Fokina,R,183.0,ESP,21.2,111815,,4.0,3.0,114.0,78.0,53.0,25.0,19.0,5.0,8.0,8.0,6.0,118.0,76.0,49.0,19.0,19.0,12.0,18.0,99.0,627.0,76.0,727.0,0,5,0
2020-0337,Vienna,Hard,32,A,20201026,283,Q,Attila Balazs,R,180.0,HUN,32.0,6-3 7-5,3,R32,86.0,128034,,,Hubert Hurkacz,R,196.0,POL,23.7,105226,,5.0,6.0,61.0,34.0,30.0,11.0,11.0,0.0,2.0,1.0,4.0,62.0,34.0,22.0,14.0,10.0,4.0,8.0,31.0,1493.0,88.0,759.0,4,9,0
2023-0424,Dallas,Hard,32,A,20230206,284,,Ilya Ivashka,R,193.0,BLR,28.9,7-6(2) 4-6 6-4,3,R32,183.0,106058,,WC,Jack Sock,R,185.0,USA,30.3,125802,,9.0,10.0,133.0,75.0,56.0,22.0,16.0,15.0,18.0,7.0,3.0,101.0,73.0,51.0,12.0,16.0,6.0,9.0,141.0,405.0,74.0,715.0,0,2,1
2021-7434,Sofia,Hard,32,A,20210927,288,,Alex De Minaur,R,183.0,AUS,22.6,7-6(5) 7-6(2),3,R16,120.0,106218,,,Marcos Giron,R,180.0,USA,28.1,200282,3,2.0,2.0,78.0,37.0,27.0,25.0,12.0,2.0,4.0,4.0,4.0,87.0,49.0,38.0,14.0,12.0,7.0,9.0,67.0,1007.0,26.0,1991.0,0,4,0
2021-520,Roland Garros,Clay,128,G,20210531,202,,Philipp Kohlschreiber,R,178.0,GER,37.6,6-4 6-2 6-1,5,R32,122.0,106043,10,,Diego Schwartzman,R,170.0,ARG,28.7,104259,,0.0,0.0,64.0,43.0,33.0,13.0,13.0,1.0,2.0,2.0,0.0,91.0,58.0,28.0,14.0,12.0,6.0,13.0,10.0,3465.0,132.0,572.0,0,9,0
2022-0407,Rotterdam,Hard,32,A,20220207,289,,Karen Khachanov,R,198.0,RUS,25.7,6-4 7-6(5),3,R16,108.0,111815,6,,Cameron Norrie,L,188.0,GBR,26.4,111575,,4.0,5.0,74.0,47.0,32.0,12.0,11.0,4.0,6.0,12.0,6.0,80.0,44.0,33.0,11.0,11.0,5.0,8.0,13.0,2865.0,28.0,1748.0,1,8,0
2022-0407,Rotterdam,Hard,32,A,20220207,283,,David Goffin,R,180.0,BEL,31.1,6-0 6-3,3,R32,73.0,200282,,,Alex De Minaur,R,183.0,AUS,22.9,105676,,2.0,2.0,61.0,32.0,22.0,16.0,8.0,6.0,7.0,5.0,2.0,40.0,20.0,12.0,4.0,7.0,3.0,8.0,34.0,1486.0,47.0,1156.0,2,7,0
2023-0322,Geneva,Clay,32,A,20230522,297,,Casper Ruud,R,183.0,NOR,24.4,3-6 7-6(2) 7-5,3,QF,151.0,111797,,,Nicolas Jarry,R,198.0,CHI,27.6,134770,1,12.0,3.0,87.0,51.0,42.0,23.0,16.0,2.0,4.0,3.0,4.0,107.0,67.0,49.0,23.0,17.0,3.0,5.0,54.0,862.0,4.0,4915.0,1,8,1
2020-0407,Rotterdam,Hard,32,A,20200210,277,Q,Marton Fucsovics,R,188.0,HUN,28.0,4-6 7-6(1) 6-1,3,R32,137.0,105138,6,,Roberto Bautista Agut,R,183.0,ESP,31.8,105916,,5.0,3.0,91.0,60.0,42.0,14.0,14.0,4.0,7.0,11.0,3.0,92.0,53.0,40.0,15.0,15.0,3.0,8.0,12.0,2360.0,66.0,832.0,1,8,0
2021-0352,Paris Masters,Hard,64,M,20211101,256,WC,Andy Murray,R,190.0,GBR,34.4,6-4 5-7 7-6(9),3,R64,181.0,136440,,LL,Dominik Koepfer,L,180.0,GER,27.5,104918,,5.0,3.0,112.0,77.0,58.0,15.0,17.0,7.0,10.0,11.0,9.0,112.0,55.0,43.0,28.0,17.0,6.0,9.0,58.0,1015.0,144.0,476.0,3,3,0
2023-0311,Queen's Club,Grass,32,A,20230619,281,,Botic Van De Zandschulp,R,188.0,NED,27.7,6-2 6-4,3,R32,68.0,126207,4,,Frances Tiafoe,R,188.0,USA,25.4,122298,,5.0,1.0,48.0,30.0,26.0,12.0,9.0,3.0,3.0,7.0,6.0,63.0,40.0,29.0,7.0,9.0,6.0,9.0,10.0,3085.0,41.0,975.0,1,7,1
2024-4462,Bucharest,Clay,32,A,20240415,287,,Nuno Borges,R,185.0,POR,27.1,6-2 6-7(3) 6-2,3,R16,157.0,144895,,,Corentin Moutet,L,178.0,FRA,24.9,132686,7,1.0,0.0,85.0,61.0,37.0,15.0,14.0,3.0,7.0,3.0,4.0,111.0,83.0,47.0,10.0,14.0,7.0,15.0,92.0,652.0,55.0,911.0,1,4,1
2022-1536,Madrid Masters,Clay,64,M,20220502,242,,Tommy Paul,R,185.0,USA,24.9,6-7(4) 7-6(4) 6-3,3,R64,180.0,206173,10,,Jannik Sinner,R,188.0,ITA,20.7,126205,,8.0,3.0,108.0,64.0,46.0,29.0,17.0,2.0,4.0,1.0,3.0,121.0,76.0,56.0,20.0,16.0,8.0,11.0,12.0,3015.0,35.0,1243.0,3,19,0
2021-9462,Marbella,Clay,32,A,20210405,279,,Juan Ignacio Londero,R,180.0,ARG,27.6,6-7(3) 6-1 6-3,3,R32,130.0,105613,,,Norbert Gombos,R,193.0,SVK,30.6,106228,,6.0,4.0,78.0,46.0,34.0,18.0,14.0,1.0,3.0,0.0,2.0,98.0,57.0,29.0,24.0,14.0,5.0,11.0,99.0,792.0,94.0,832.0,0,3,0
2023-9900,United Cup,Hard,18,A,20230102,236,,Rafael Nadal,L,185.0,ESP,36.5,3-6 6-3 6-4,3,RR,164.0,111815,15,,Cameron Norrie,L,188.0,GBR,27.3,104745,4,6.0,2.0,88.0,57.0,42.0,18.0,14.0,5.0,6.0,10.0,4.0,95.0,55.0,40.0,21.0,14.0,9.0,11.0,14.0,2445.0,2.0,6020.0,1,8,1
2024-0301,Auckland,Hard,32,A,20240108,271,,J J Wolf,R,183.0,USA,25.0,6-4 6-2,3,R32,93.0,209414,,Q,Luca Van Assche,R,,FRA,19.6,200670,,6.0,2.0,63.0,38.0,31.0,13.0,9.0,1.0,1.0,5.0,5.0,58.0,28.0,17.0,16.0,9.0,3.0,6.0,87.0,687.0,54.0,910.0,2,3,1
2023-540,Wimbledon,Grass,128,G,20230703,218,,Alexander Bublik,R,196.0,KAZ,26.0,7-5 6-3 6-7(6) 6-7(5) 6-4,5,R16,197.0,126094,7,,Andrey Rublev,R,188.0,RUS,25.7,122330,23,21.0,2.0,167.0,113.0,91.0,35.0,30.0,5.0,5.0,39.0,14.0,164.0,113.0,93.0,24.0,27.0,6.0,9.0,7.0,4255.0,26.0,1354.0,1,12,1
2022-0499,Delray Beach,Hard,32,A,20220214,276,,Tennys Sandgren,R,188.0,USA,30.5,7-5 6-3,3,R32,79.0,106218,,,Marcos Giron,R,180.0,USA,28.5,105815,,6.0,1.0,57.0,28.0,22.0,20.0,10.0,0.0,0.0,2.0,6.0,72.0,41.0,31.0,12.0,11.0,2.0,5.0,64.0,988.0,161.0,400.0,0,4,0
2024-0403,Miami Masters,Hard,128,M,20240318,281,,Christopher Eubanks,R,201.0,USA,27.8,7-6(4) 6-3,3,R32,104.0,100644,4,,Alexander Zverev,R,198.0,GER,26.9,111153,31,8.0,0.0,74.0,58.0,40.0,13.0,11.0,4.0,5.0,7.0,2.0,62.0,46.0,32.0,8.0,10.0,0.0,2.0,5.0,5060.0,32.0,1233.0,8,17,1
2022-520,Roland Garros,Clay,128,G,20220523,106,,Daniel Altmaier,R,191.0,GER,23.6,6-1 6-3 4-6 6-3,5,R128,,144719,,,Jaume Munar,R,183.0,ESP,25.0,127157,,4.0,3.0,107.0,62.0,41.0,22.0,17.0,6.0,11.0,3.0,6.0,123.0,72.0,43.0,17.0,18.0,12.0,22.0,87.0,710.0,53.0,970.0,0,4,0
2023-1536,Madrid Masters,Clay,128,M,20230424,292,,Andrey Rublev,R,188.0,RUS,25.5,7-6(8) 6-4,3,R16,102.0,111575,10,,Karen Khachanov,R,198.0,RUS,26.9,126094,5,5.0,2.0,72.0,44.0,35.0,18.0,11.0,1.0,1.0,7.0,3.0,73.0,42.0,33.0,17.0,11.0,3.0,4.0,12.0,2855.0,6.0,4280.0,2,6,1
2022-580,Australian Open,Hard,128,G,20220117,190,,Arthur Rinderknech,R,196.0,FRA,26.4,W/O,5,R64,0.0,105554,24,,Daniel Evans,R,175.0,GBR,31.6,126239,,,,,,,,,,,,,,,,,,,,24.0,1957.0,48.0,1178.0,0,5,0
2022-0418,Washington,Hard,64,A,20220801,283,,Benoit Paire,R,196.0,FRA,33.2,6-3 6-2,3,R32,77.0,208029,9,,Holger Rune,R,185.0,DEN,19.2,105332,,4.0,3.0,66.0,38.0,31.0,14.0,9.0,4.0,4.0,6.0,8.0,53.0,32.0,23.0,7.0,8.0,2.0,5.0,28.0,1388.0,112.0,491.0,1,10,1
2024-M-DC-2024-QLS-M-TPE-FRA-01,Davis Cup QLS R1: TPE vs FRA,Hard,4,D,20240203,4,,Chun Hsin Tseng,R,175.0,TPE,22.4,6-3 7-6(3),3,RR,83.0,111460,,,Quentin Halys,R,191.0,FRA,27.2,202358,,15.0,0.0,62.0,45.0,35.0,12.0,11.0,0.0,1.0,2.0,3.0,65.0,33.0,27.0,14.0,10.0,3.0,5.0,100.0,615.0,305.0,177.0,1,3,1
2021-0422,Cincinnati Masters,Hard,64,M,20210816,273,,Albert Ramos,L,188.0,ESP,33.5,6-7(5) 6-3 7-5,3,R32,140.0,126610,5,,Matteo Berrettini,R,196.0,ITA,25.3,105077,,25.0,1.0,104.0,73.0,61.0,16.0,17.0,5.0,5.0,2.0,3.0,90.0,60.0,48.0,18.0,16.0,2.0,4.0,8.0,5533.0,49.0,1378.0,0,11,0
2022-520,Roland Garros,Clay,128,G,20220523,201,,John Isner,R,206.0,USA,37.0,6-4 3-6 6-4 6-7(5) 6-3,5,R32,,126523,,,Bernabe Zapata Miralles,R,185.0,ESP,25.3,104545,23,5.0,1.0,150.0,110.0,77.0,26.0,24.0,9.0,11.0,21.0,7.0,160.0,100.0,77.0,29.0,26.0,9.0,14.0,131.0,475.0,26.0,1616.0,0,4,0
2023-M-DC-2023-FLS-1-A-M-SWE-CHI-01,Davis Cup Finals RR: SWE vs CHI,Hard,2,D,20230912,1,,Leo Borg,R,183.0,SWE,20.3,7-6(6) 3-6 7-5,3,RR,,106426,,,Cristian Garin,R,185.0,CHI,27.2,209863,,17.0,0.0,89.0,75.0,57.0,8.0,16.0,5.0,7.0,12.0,1.0,103.0,71.0,49.0,21.0,17.0,6.0,8.0,103.0,596.0,334.0,155.0,3,9,1
